Date,y_real,mu_pred,sigma_pred,VaR_95,ES_95,VaR_99,ES_99,violation_95,violation_99
2024-12-19,-0.0008654904725162,0.0006631442214987,0.0064482658564321,-0.0137454094516268,-0.021889191668473,-0.025797903845913,-0.0392897733711309,0,0
2024-12-20,0.0108104760691463,0.0019715469049536,0.0066947056795306,-0.0132430992718308,-0.0223958923865948,-0.0264213069177985,-0.039139441337892,0,0
2024-12-23,0.0072608451364585,0.001912856293383,0.0056345054130512,-0.0107762932357689,-0.017631050974094,-0.0215635292577464,-0.0297017573368483,0,0
2024-12-24,0.0109822307518467,0.0028379209714628,0.0050455833930716,-0.0084590084926072,-0.0140326147028562,-0.0179480192721073,-0.0271613250286506,0,0
2024-12-26,-0.0004057418672683,0.0011504090842341,0.0052312306672323,-0.0106052137938096,-0.0161294120528036,-0.0205545963376184,-0.0284138312069307,0,0
2024-12-27,-0.0111173050459206,0.0019602451798447,0.0065002160513865,-0.0127294205018506,-0.021325278383883,-0.0253068103927699,-0.0407681014186312,0,0
2024-12-30,-0.0107596736242152,-0.0002384287332283,0.0062641111237326,-0.0142806915223229,-0.020168430375246,-0.0261054009345831,-0.0406104757794373,0,0
2024-12-31,-0.004293996526985,-0.0011447730741224,0.0054184529875587,-0.013259606200723,-0.0198161336564856,-0.0234062420893632,-0.0330078674120298,0,0
2025-01-02,-0.0022263668704325,0.0019005637798401,0.0052350431861108,-0.0098520942277696,-0.0171133898271707,-0.0197788560264119,-0.0277606007139326,0,0
2025-01-03,0.0125173550086663,0.0006394218094463,0.0062805633930991,-0.0133905998897425,-0.0202904028415161,-0.0251198716703642,-0.0357299496108567,0,0
2025-01-06,0.0055227718711133,0.0010344438656157,0.0055211808347157,-0.011359132259068,-0.0172487888716354,-0.021824693386513,-0.032590248499524,0,0
2025-01-07,-0.0111660218809778,0.0011404797284879,0.0056233492005509,-0.0114186321223783,-0.0194226919523376,-0.0219134044150541,-0.0321697494311576,0,0
2025-01-08,0.0015591415817859,-0.0010884880010055,0.0064351300638336,-0.015508704327615,-0.0227422646953752,-0.0276422538051818,-0.0411217736002152,0,0
2025-01-10,-0.0155316443538942,0.0004845627801432,0.0056705516457053,-0.0122661550531968,-0.0206130342719701,-0.0230714573271999,-0.0439496383751678,1,0
2025-01-13,0.0015742085383317,-0.0009008909741149,0.0063942910679256,-0.0153554439061576,-0.0241282648444217,-0.0277390328249556,-0.0369321997679336,0,0
2025-01-14,0.0011456333652556,0.0004475030658664,0.0055685939403188,-0.0121040200852311,-0.0195770913925422,-0.0227932035306684,-0.0282105374659885,0,0
